['note_on', 38, 68.11979166666666, 9]
['note_off', 38, 68.31770833333333, 9]
['note_on', 43, 68.36979166666666, 0]
['note_on', 36, 68.36979166666666, 9]
['note_off', 36, 68.48854166666666, 9]
['note_off', 43, 68.61145833333333, 0]
['note_on', 45, 68.61979166666667, 0]
['note_off', 45, 68.80312500000001, 0]
['note_on', 45, 68.86979166666667, 0]
['note_off', 45, 69.028125, 0]
['note_on', 43, 69.06666666666666, 0]
['note_on', 36, 69.06666666666666, 9]
['note_off', 36, 69.06875, 9]
['note_off', 43, 69.22708333333333, 0]
['note_on', 45, 69.25208333333333, 0]
['note_on', 36, 69.25208333333333, 9]
['note_off', 36, 69.37083333333334, 9]
['note_off', 45, 69.42291666666667, 0]
['note_on', 45, 69.50208333333333, 0]
['note_on', 36, 69.50208333333333, 9]
['note_off', 36, 69.59375, 9]
['note_off', 45, 69.72708333333334, 0]
['note_on', 48, 69.75208333333335, 0]
['note_on', 38, 69.75208333333335, 9]
['note_off', 38, 69.96458333333335, 9]
['note_on', 45, 70.00208333333335, 0]
['note_on', 36, 70.00208333333335, 9]
['note_off', 48, 70.01875000000001, 0]
['note_off', 36, 70.28125000000001, 9]
['note_on', 36, 70.50208333333335, 9]
['note_off', 36, 70.56875000000001, 9]
['note_on', 38, 70.75208333333335, 9]
['note_off', 45, 70.80208333333334, 0]
['note_off', 38, 70.92291666666668, 9]
['note_on', 36, 71.00208333333335, 9]
['note_off', 36, 71.09375000000001, 9]
['note_on', 45, 71.25208333333335, 1]
['note_on', 57, 71.25208333333335, 1]
['note_off', 45, 71.65937500000001, 1]
['note_off', 57, 71.74375, 1]
['note_on', 60, 71.75208333333335, 1]
['note_on', 64, 71.75208333333335, 1]
['note_off', 60, 71.88125000000001, 1]
['note_off', 64, 71.88333333333334, 1]
['note_on', 48, 72.00208333333335, 1]
['note_on', 60, 72.00208333333335, 1]
['note_off', 60, 72.19375000000001, 1]
['note_off', 48, 72.23333333333335, 1]
['note_on', 50, 72.25208333333335, 1]
['note_on', 62, 72.25208333333335, 1]
['note_off', 62, 72.45416666666668, 1]
['note_off', 50, 72.47916666666669, 1]
['note_on', 52, 72.50208333333335, 1]
['note_on', 60, 72.50208333333335, 1]
['note_on', 64, 72.50208333333335, 1]
['note_off', 64, 72.65833333333335, 1]
['note_off', 60, 72.69270833333334, 1]
['note_off', 52, 72.69479166666667, 1]
['note_on', 45, 73.00208333333335, 1]
['note_on', 57, 73.00208333333335, 1]
['note_on', 60, 73.50208333333335, 1]
['note_on', 64, 73.50208333333335, 1]
['note_off', 57, 73.54791666666668, 1]
['note_off', 64, 73.67500000000001, 1]
['note_off', 60, 73.67604166666668, 1]
['note_off', 45, 73.70104166666668, 1]
['note_on', 43, 73.75208333333335, 1]
['note_on', 55, 73.75208333333335, 1]
['note_on', 59, 74.00208333333335, 1]
['note_on', 62, 74.00208333333335, 1]
['note_off', 59, 74.09791666666668, 1]
['note_off', 62, 74.12916666666668, 1]
['note_off', 55, 74.14375000000001, 1]
['note_on', 45, 74.25208333333335, 1]
['note_on', 57, 74.25208333333335, 1]
['note_off', 43, 74.29166666666669, 1]
['note_off', 45, 74.35208333333335, 1]
['note_off', 57, 74.39687500000002, 1]
['note_on', 40, 74.50208333333336, 1]
